Name,Rank,Total Power,Troop Power,Combat Power,Combat Power verified,Hero Power,Hero Gear,Governor Gear,Charms,Pets,Furnace,VIP,Life Tree,Origin kingdom,Office,7d growth,Kills,Weekly activity,Activity rank,Weekly donations,Donation rank,Presence,On StratForge
Sazabi,R3,21475920,3073059,18402861,Yes,,,,,,TC 25,5,8,2362,,,,,,,,,No
StrokerAce,R3,23479365,5487298,17992067,Yes,,,,,,TC 25,4,7,2362,,,,,,,,,No
蛋蛋不吃蛋,R3,24232268,6525063,17707205,Yes,,,,,,TC 25,6,8,2362,,,,,,,,,No
라지카쵸리,R3,22571427,4941395,17630032,Yes,,,,,,TC 25,4,9,2362,,1154160,,,,,,,No
СИВИЙ,R3,24037186,6925319,17111867,Yes,,,,,,TC 24,0,8,2362,,,,,,,,,No
Nyx,R3,27147890,10255062,16892828,Yes,,,,,,TC 26,7,9,2362,,"'-172241",,,,,,,No
GIOTTOMAN,R3,22228223,5365276,16862947,Yes,,,,,,TC 25,7,8,2362,,,,,,,,,No
ErroR,R3,20800518,4732871,16067647,Yes,,,,,,TC 26,5,9,2362,,,1958776,,,,,,No
niky,R3,21751255,5698749,16052506,Yes,,,,,,TC 26,4,9,2362,,154754,,,,,,,No
บักTui,R3,23273329,7271585,16001744,Yes,,,,,,TC 25,0,8,2362,,1997339,,,,,,,No
EZZELDEEN,R3,21444296,5520152,15924144,Yes,,,,,,TC 25,6,8,2362,,859266,,,,,,,No
Gurrburr,R3,19293108,3454494,15838614,Yes,,,,,,TC 25,5,8,2362,,2291426,,,,,,,No
ZAYGIIII,R3,21045152,5337558,15707594,Yes,,,,,,TC 26,5,8,2362,,,,,,,,,No
~Zew~,R3,19870672,4228841,15641831,Yes,,,,,,TC 24,6,8,2362,,1018550,,,,,,,No
Odysseus,R3,19027949,3443628,15584321,Yes,,,,,,TC 25,5,7,2362,,,1443530,,,,,,No
Popzy,R3,19628073,4120237,15507836,Yes,,,,,,TC 25,0,8,2362,,163691,,,,,,,No
HealthCareCeo,R3,21175937,5831710,15344227,Yes,,,,,,TC 25,6,8,2362,,,,,,,,,No
gan423,R3,20684661,5522193,15162468,Yes,,,,,,TC 25,6,8,2362,,0,,,,,,,No
Thorrr,R3,19236386,4241869,14994517,Yes,,,,,,TC 25,4,8,2362,,3301140,915811,,,,,,No
幻海航行,R3,18566659,3906536,14660123,Yes,,,,,,TC 25,0,7,2362,,1430071,,,,,,,No
PAPITO,R3,19678158,5139419,14538739,Yes,,,,,,TC 25,6,8,2362,,1619797,,,,,,,No
I'm just a guy,R3,19746673,5250608,14496065,Yes,,,,,,TC 24,4,8,2362,,182336,,,,,,,No
Roman,R3,19917564,5475164,14442400,Yes,,,,,,TC 23,0,8,2362,,319913,,,,,,,No
SaintM,R3,18198455,3803411,14395044,Yes,,,,,,TC 25,0,9,2362,,1496666,,,,,,,No
Lancelot,R3,21298279,6993662,14304617,Yes,,,,,,TC 24,4,8,2362,,,,,,,,,No
Choi,R3,19108422,4855705,14252717,Yes,,,,,,TC 25,4,8,2362,,1510958,,,,,,,No
MrClay,R3,18939389,4693274,14246115,Yes,,,,,,TC 24,0,9,2362,,,,,,,,,No
KOR T380,R3,19469657,5317588,14152069,Yes,,,,,,TC 24,4,8,2362,,"'-144257",,,,,,,No
Satpol PP,R3,20214773,6081576,14133197,Yes,,,,,,TC 24,0,9,2362,,532571,,,,,,,No
Trancos,R3,19482662,5409946,14072716,Yes,,,,,,TC 25,0,9,2362,,268984,,,,,,,No
AKA,R3,19448147,5472718,13975429,Yes,,,,,,TC 24,0,9,2362,,996588,1745003,,,,,,No
Wandi,R3,19487539,5625625,13861914,Yes,,,,,,TC 25,0,8,2362,,"'-401542",,,,,,,No
bayo Angin,R3,17576493,3768306,13808187,Yes,,,,,,TC 25,4,8,2362,,1263014,,,,,,,No
BilboSwaggins,R3,17697260,3940219,13757041,Yes,,,,,,TC 24,4,6,2362,,168023,,,,,,,No
Baus Hawg,R3,17025720,3389243,13636477,Yes,,,,,,TC 23,5,7,2362,,480004,1393852,,,,,,No
Lordihno,R3,17705209,4077560,13627649,Yes,,,,,,TC 24,5,8,2362,,191180,,,,,,,No
مهدی,R3,20115142,6532064,13583078,Yes,,,,,,TC 24,0,9,2362,,"'-153822",1937939,,,,,,No
Lord Raven,R3,18044766,4469939,13574827,Yes,,,,,,TC 23,0,8,2362,,159536,,,,,,,No
holy lord,R3,17160386,3633068,13527318,Yes,,,,,,TC 23,5,8,2362,,164746,,,,,,,No
큰형님,R3,18606687,5257531,13349156,Yes,,,,,,TC 24,4,8,2362,,,,,,,,,No
kilord,R3,18891473,5617626,13273847,Yes,,,,,,TC 24,0,9,2362,,1577233,,,,,,,No
Lion of Judah,R3,15654492,2417079,13237413,Yes,,,,,,TC 24,0,7,2362,,89152,,,,,,,No
Riddle,R3,18289533,5091948,13197585,Yes,,,,,,TC 24,4,8,2362,,136232,,,,,,,No
EriktheRed,R3,16329407,3137111,13192296,Yes,,,,,,TC 25,5,9,2362,,872607,,,,,,,No
faraz12,R3,15774997,2598833,13176164,Yes,,,,,,TC 24,4,7,2362,,1119200,1100611,,,,,,No
SirNil,R3,18547327,5409753,13137574,Yes,,,,,,TC 24,0,8,2362,,62257,1112151,,,,,,No
Zitos,R3,17326139,4218226,13107913,Yes,,,,,,TC 23,0,8,2362,,,,,,,,,No
ATK615,R3,17303748,4206755,13096993,Yes,,,,,,TC 24,0,8,2362,,630251,,,,,,,No
ⒶⓂⒷ⓪⑦,R3,16356207,3266100,13090107,Yes,,,,,,TC 23,4,7,2362,,441777,,,,,,,No
活著真好,R3,16443477,3369608,13073869,Yes,,,,,,TC 24,4,7,2362,,,,,,,,,No
McSekanlı,R3,18296166,5266573,13029593,Yes,,,,,,TC 25,0,9,2362,,297559,,,,,,,No
GoDST0rM,R3,16734347,3715270,13019077,Yes,,,,,,TC 24,0,7,2362,,277027,,,,,,,No
CARTEL SPARTANs,R3,19301380,6385174,12916206,Yes,,,,,,TC 25,0,7,2362,,286360,,,,,,,No
SNØW BERK,R3,19536695,6795551,12741144,Yes,,,,,,TC 23,5,8,2362,,"'-240320",,,,,,,No
Prymitive,R3,17414314,4773372,12640942,Yes,,,,,,TC 24,5,7,2362,,,,,,,,,No
rodan_22,R3,17072748,4454373,12618375,Yes,,,,,,TC 22,0,8,2362,,425826,,,,,,,No
Anayble,R3,16041082,3516845,12524237,Yes,,,,,,TC 23,0,8,2362,,313297,,,,,,,No
wolf leon,R3,17832409,5335992,12496417,Yes,,,,,,TC 24,0,7,2362,,1108,,,,,,,No
Amira,R3,17508891,5044826,12464065,Yes,,,,,,TC 23,4,8,2362,,344442,,,,,,,No
Thelordduke,R3,17429753,4977767,12451986,Yes,,,,,,TC 24,0,7,2362,,151112,,,,,,,No
Joyboy,R3,17236080,4806366,12429714,Yes,,,,,,TC 23,0,8,2362,,210219,,,,,,,No
hermajestythking,R3,17133975,4716531,12417444,Yes,,,,,,TC 24,0,8,2362,,232588,,,,,,,No
Lord Hero Kaspo,R3,16567926,4191737,12376189,Yes,,,,,,TC 24,0,7,2362,,1119840,,,,,,,No
cluster,R3,15447731,3123786,12323945,Yes,,,,,,TC 23,0,7,2362,,,,,,,,,No
RubTumpkins,R3,17352297,5031451,12320846,Yes,,,,,,TC 24,0,7,2362,,,,,,,,,No
Dangerdog,R3,17457506,5300209,12157297,Yes,,,,,,TC 24,0,8,2362,,,,,,,,,No
ALİK,R3,16010179,3980089,12030090,Yes,,,,,,TC 24,0,9,2362,,277178,,,,,,,No
Billyyinyin,R3,15415867,3399809,12016058,Yes,,,,,,TC 24,0,8,2362,,"'-56408",,,,,,,No
Mathi201015,R3,16271587,4308694,11962893,Yes,,,,,,TC 23,0,6,2362,,420565,1365573,,,,,,No
Estyfisherman,R3,15560156,3736112,11824044,Yes,,,,,,TC 24,4,8,2362,,684887,,,,,,,No
Karont,R3,16373451,4650268,11723183,Yes,,,,,,TC 23,0,6,2362,,"'-393531",,,,,,,No
saeed afshar zad,R3,15939136,4295385,11643751,Yes,,,,,,TC 23,0,7,2362,,132810,,,,,,,No
Ⓢⓚⓨ,R3,16306990,4842440,11464550,Yes,,,,,,TC 24,4,9,2362,,,,,,,,,No
IsLena,R3,16687509,5235029,11452480,Yes,,,,,,TC 23,0,7,2362,,134378,,,,,,,No
gguugguu,R3,14511665,3803072,10708593,Yes,,,,,,TC 23,0,7,2362,,246114,,,,,,,No
AthenaX,R3,14414993,3759161,10655832,Yes,,,,,,TC 24,0,8,2362,,0,,,,,,,No
NOOP,R3,12680164,2237563,10442601,Yes,,,,,,TC 23,4,6,2362,,597513,,,,,,,No
Victer,R3,14424624,4005068,10419556,Yes,,,,,,TC 22,0,6,2362,,"'-1609924",,,,,,,No
Eliassito99,R3,14865988,4447110,10418878,Yes,,,,,,TC 23,0,8,2362,,202869,,,,,,,No
mtrixx,R3,13699666,3385238,10314428,Yes,,,,,,TC 24,0,7,2362,,530414,,,,,,,No
